Title,Code,Rating,Rating Count
Breaking Bad,tt0903747,9.4,"1,982,273"
Planet Earth II,tt5491994,9.4,"150,557"
Planet Earth,tt0795176,9.4,"213,859"
Band of Brothers,tt0185906,9.4,"485,088"
Chernobyl,tt7366338,9.3,"798,995"
The Wire,tt0306414,9.3,"353,430"
Avatar: The Last Airbender,tt0417299,9.2,"332,240"
Blue Planet II,tt6769208,9.2,"43,228"
The Sopranos,tt0141842,9.2,"424,564"
Cosmos: A Spacetime Odyssey,tt2395695,9.2,"124,482"
Cosmos,tt0081846,9.2,"42,197"
Our Planet,tt9253866,9.2,"46,039"
Game of Thrones,tt0944947,9.1,"2,166,298"
The World at War,tt0071075,9.1,"26,882"
Rick and Morty,tt2861424,9.1,"552,861"
Fullmetal Alchemist: Brotherhood,tt1355642,9.0,"179,179"
The Last Dance,tt8420184,9.0,"135,116"
Life,tt1533395,9.0,"41,682"
Bluey,tt7678620,9.0,"15,827"
The Twilight Zone,tt0052520,9.0,"87,342"
Sherlock,tt1475582,9.0,"951,775"
The Vietnam War,tt1877514,9.0,"26,059"
Batman: The Animated Series,tt0103359,9.0,"108,716"
Scam 1992: The Harshad Mehta Story,tt12392504,8.9,"148,311"
Attack on Titan,tt2560140,8.9,"412,885"
Arcane,tt11126994,8.9,"229,448"
The Blue Planet,tt0296310,8.9,"40,953"
The Office,tt0386676,8.9,"642,834"
Human Planet,tt1806234,8.9,"26,975"
Firefly,tt0303461,8.9,"272,091"
Frozen Planet,tt2092588,8.9,"31,644"
Better Call Saul,tt3032476,8.9,"578,279"
Death Note,tt0877057,8.9,"344,049"
Clarkson's Farm,tt10541088,8.9,"48,106"
Only Fools and Horses,tt0081912,8.9,"53,926"
The Civil War,tt0098769,8.9,"17,286"
Hunter x Hunter,tt2098220,8.9,"111,891"
True Detective,tt2356777,8.9,"596,023"
Seinfeld,tt0098904,8.9,"331,760"
Dekalog,tt0092337,8.9,"26,608"
Persona,tt7920978,8.9,"43,414"
The Beatles: Get Back,tt9735318,8.9,"24,967"
Fargo,tt2802850,8.9,"383,835"
Cowboy Bebop,tt0213338,8.8,"127,066"
Nathan for You,tt2297757,8.8,"34,034"
Gravity Falls,tt1865718,8.8,"118,937"
When They See Us,tt7137906,8.8,"128,087"
Succession,tt7660850,8.8,"202,844"
Last Week Tonight with John Oliver,tt3530232,8.8,"91,971"
Friends,tt0108778,8.8,"1,027,784"
Apocalypse: The Second World War,tt1508238,8.8,"13,260"
Africa,tt2571774,8.8,"16,503"
TVF Pitchers,tt4742876,8.8,"70,177"
Taskmaster,tt4934214,8.8,"15,732"
It's Always Sunny in Philadelphia,tt0472954,8.8,"235,848"
Monty Python's Flying Circus,tt0063929,8.8,"76,405"
Das Boot,tt0081834,8.8,"31,622"
As If,tt13675832,8.8,"17,474"
The West Wing,tt0200276,8.8,"80,477"
Curb Your Enthusiasm,tt0264235,8.8,"134,475"
Leyla and Mecnun,tt1831164,8.8,"94,884"
Fawlty Towers,tt0072500,8.8,"96,379"
Pride and Prejudice,tt0112130,8.7,"87,900"
Freaks and Geeks,tt0193676,8.7,"147,239"
BoJack Horseman,tt3398228,8.7,"169,911"
The Last of Us,tt3581920,8.7,"417,096"
Blackadder Goes Forth,tt0096548,8.7,"54,613"
Twin Peaks,tt0098936,8.7,"204,377"
Black Mirror,tt2085059,8.7,"574,768"
Narcos,tt2707408,8.7,"442,766"
Dragon Ball Z,tt0214341,8.7,"137,195"
One Piece,tt0388629,8.7,"146,225"
Chappelle's Show,tt0353049,8.7,"67,994"
Dragon Ball Z,tt0121220,8.7,"82,957"
"I, Claudius",tt0074006,8.7,"18,250"
South Park,tt0121955,8.7,"388,789"
Over the Garden Wall,tt3718778,8.7,"61,645"
Six Feet Under,tt0248654,8.7,"139,065"
Kota Factory,tt9432978,8.7,"74,914"
Rome,tt0384766,8.7,"177,108"
Peaky Blinders,tt2442560,8.7,"582,811"
Oz,tt0118421,8.7,"102,451"
Ted Lasso,tt10986410,8.7,"273,810"
Dark,tt5753856,8.7,"409,762"
Steins;Gate,tt1910272,8.7,"66,692"
The Boys,tt1190634,8.7,"554,880"
Gullak,tt10530900,8.7,"18,769"
Fleabag,tt5687612,8.7,"174,203"
